vid,video_path,audio_path,bbox,asr,caption
23vmxtwbC1E_1920x1080_full_video_032_B,videos/23vmxtwbC1E_1920x1080_full_video_032.mp4,audios/23vmxtwbC1E_1920x1080_full_video_032.wav,"0,0,1,1"," part of this, the whole counterintelligence part of this, where something can be used as a foil or a weapon.","The person in the video is making hand gestures with their left hand while speaking, with fingers spread out, seemingly emphasizing a point or explaining a concept. Their right hand remains relatively still, occasionally making slight movements. Throughout the process, the coordination of both hands indicates that they are actively engaging with the audience. The person says, <S> part of this, the whole counterintelligence part of this, where something can be used as a foil or a weapon.<E> <AUDCAP>An older male speaker with a medium-to-low pitch and an American accent delivers his lines at a slow, deliberate pace. His prosody is intentionally measured, with even stress and pacing, creating a calm and contemplative rhythm. He employs a serious, informative tone, conveying a sense of gravity without strong emotional expression.<ENDAUDCAP>
"
2E9iJEtifhw_1920x1080_full_video_069_A,videos/2E9iJEtifhw_1920x1080_full_video_069.mp4,audios/2E9iJEtifhw_1920x1080_full_video_069.wav,"0,0,1,1", I want to say and it was him who was like I'm proposing to her. This is I'm done I'm locking this down and my parents were like chill why are you in a hurry so they stayed in,"The person in the video is sitting on a sofa, slightly leaning to the right. Her right hand shows noticeable movement changes while she is speaking. Initially, her right hand rests on her leg with fingers naturally curved. Then, she raises her right hand, palm facing up, and fingers slightly spread, as if emphasizing a point or explaining something. After that, her hand returns to her leg, and her fingers again naturally curve. Throughout the process, her left hand remains still, resting on her leg, and she wears a watch on her wrist. The person says, <S> I want to say and it was him who was like I'm proposing to her. This is I'm done I'm locking this down and my parents were like chill why are you in a hurry so they stayed in<E> <AUDCAP>A young adult female, speaking standard American English with a slightly neutral accent, recounts a story at a normal pace. Her pitch is medium, with clear articulation and varied intonation reflecting a narrative prosody. She expresses mild amusement and fondness. The audio quality is good, capturing her conversational tone clearly.<ENDAUDCAP>
"
2AdtC-hnq7k_1920x1080_full_video_011_A,videos/2AdtC-hnq7k_1920x1080_full_video_011.mp4,audios/2AdtC-hnq7k_1920x1080_full_video_011.wav,"0,0,1,1"," You can't be incognito in your Cher, sorry. Well, in 1985, everybody, Cher starred in the critically acclaimed film, Mask. She played a mom of a young man suffering from.","The person in the video extends their left hand downward and to the left, then retracts it. Subsequently, they extend their right hand downward and to the left, followed by a retraction. Her hand movements appear natural and fluid, suggesting that she is emphasizing a point or explaining something. The person says, <S> You can't be incognito in your Cher, sorry. Well, in 1985, everybody, Cher starred in the critically acclaimed film, Mask. She played a mom of a young man suffering from.<E> <AUDCAP>The speaker is a female, likely in her 20s or 30s, with a clear, medium-high-pitched voice and a General American accent. Her prosody features rhythmic, conversational intonation with natural stress patterns. She speaks at a fast pace with a lively, engaging, and cheerful emotional tone.<ENDAUDCAP>
"
2E76f63Mek0_1920x1080_full_video_018_B,videos/2E76f63Mek0_1920x1080_full_video_018.mp4,audios/2E76f63Mek0_1920x1080_full_video_018.wav,"0,0,1,1", this is a recurring racist urban legend that happens every few decades. Like from the late 1970s through the late 1980s there were multiple instances of,"The person in the video has their hands crossed in front of their chest, with fingers slightly curved. Then, the right hand is raised upwards with the palm facing up, while the left hand is pressed downwards. Next, both hands are brought together in a prayer position, with fingers slightly spread apart. Following this, the right hand is lifted upwards to the right and above, while the left hand is pressed downwards. Finally, both hands are brought together again in a prayer position, with fingers slightly spread apart. The person says, <S> this is a recurring racist urban legend that happens every few decades. Like from the late 1970s through the late 1980s there were multiple instances of<E> <AUDCAP>A female speaker, likely middle-aged, with a Standard American accent, speaks at a normal pace. Her voice is medium-pitched and clear, with a slightly fast rate during detailed explanations. Her prosody is informative and neutral, marked by interspersed emphatic stress, suggesting a focused delivery rather than strong emotional expression.<ENDAUDCAP>
"
23mV69Rij9Q_1920x1080_full_video_039_A,videos/23mV69Rij9Q_1920x1080_full_video_039.mp4,audios/23mV69Rij9Q_1920x1080_full_video_039.wav,"0,0,1,1"," the burning of fat. And this is something that just goes overlooked in my opinion because you have these guys ending up at sub-2000 calories eating as many calories as a girl, and then they're plateauing","The person in the video slightly turns his head to the left while speaking, then returns to a straight-ahead position. His mouth is open as if he is talking or explaining something. His hands do not appear in the frame, so specific hand movements cannot be observed. The person says, <S> the burning of fat. And this is something that just goes overlooked in my opinion because you have these guys ending up at sub-2000 calories eating as many calories as a girl, and then they're plateauing<E> <AUDCAP>The speaker is a male with a medium-low pitch voice, possibly between 30-50 years old. He speaks in a General American accent with a normal-to-fast, steady rhythm. His prosody is fairly monotone but clear, maintaining consistent intonation within phrases. He conveys an informative and slightly didactic tone, suggesting he is explaining or instructing. The speech rate is quickly paced, indicating urgency or a desire to efficiently deliver information.<ENDAUDCAP>
"
2AWYvh5tizE_1280x720_full_video_105_A,videos/2AWYvh5tizE_1280x720_full_video_105.mp4,audios/2AWYvh5tizE_1280x720_full_video_105.wav,"0,0,1,1", wall and I leaned for like maybe 40 minutes leaning out with a paint thing and when I leaned back in my back wasn't,"The person in the video first raises his right fist high above his head, then quickly lowers it to his chest, followed by raising his left fist high above his head and then quickly lowering it to his chest. His movements are smooth and powerful, showing a sense of rhythm. Throughout this series of actions, he seems to be performing some rhythmic strikes or swings, possibly imitating certain martial arts moves or dance steps. His arm and fist movements throughout the process are very coordinated, demonstrating good body control. The person says, <S> wall and I leaned for like maybe 40 minutes leaning out with a paint thing and when I leaned back in my back wasn't<E> <AUDCAP>A male speaker, likely middle-aged, speaks with a neutral American accent. His voice has a medium pitch and a conversational, slightly informal tone. He speaks at a normal, unhurried rate with clear articulation and a straightforward, even prosody. The delivery is calm and matter-of-fact, expressing little emotion beyond mild reflection, consistent with recounting a personal anecdote. The prosody remains relatively level, lacking strong stress or inflection, typical of everyday explanatory speech.<ENDAUDCAP>
"
23mV69Rij9Q_1920x1080_full_video_044_A,videos/23mV69Rij9Q_1920x1080_full_video_044.mp4,audios/23mV69Rij9Q_1920x1080_full_video_044.wav,"0,0,1,1", cardio in addition to having good cardiovascular health. Obviously doing cardio is important for health reasons but then on top of that you don't have the delicious c Yang on top now.,"The person in the video slightly turns their head to the left while speaking, then returns to a straight-ahead position. Their mouth is open as if they are speaking or expressing some emotion. Subsequently, he again turns his head to the left, looking towards the left side of the frame, and then returns to a straight-ahead position. Throughout the process, his head movements are relatively mild, mainly focusing on the rotation of his head. The person says, <S> cardio in addition to having good cardiovascular health. Obviously doing cardio is important for health reasons but then on top of that you don't have the delicious c Yang on top now.<E> <AUDCAP>A male speaker, likely in his 30s-40s with a perceptible North American accent, delivers clear, articulate speech. His pitch falls in the medium range, and his prosody is characterized by a steady, even rhythm, natural stress on keywords, and calm, informative intonation. The tone is neutral and explanatory, lacking strong emotion, with a consistent, normal speech rate. The recording quality is high, with minimal background noise.<ENDAUDCAP>
"
26bqQttDRaU_1920x1080_full_video_011_A,videos/26bqQttDRaU_1920x1080_full_video_011.mp4,audios/26bqQttDRaU_1920x1080_full_video_011.wav,"0,0,1,1", Or dipping. Or what the hell? Soaking.,"The person in the video has their hands crossed on the table, with the left hand above and the right hand below. His fingers are slightly curved, and his thumb gently rests on his index finger. He then moves his right hand upwards, spreading his fingers slightly, before returning to its original position. Following this, he again raises his right hand, this time with his fingers more spread out, and his palm facing the audience. Finally, he lowers his right hand back to its original position. Throughout the process, his left hand remains relatively stable, with only minor adjustments. The person says, <S> Or dipping. Or what the hell? Soaking.<E> <AUDCAP>A male speaker with a medium-pitched voice and a General American accent delivers a news brief in a moderate, conversational rhythm. His prosody is natural and clear, with standard pitch variation and inflection. He sounds calm and matter-of-fact, exhibiting a neutral tone with no discernible emotion. The speech rate is normal. The audio is clean and well-articulated, conveying information with a straightforward, professional cadence.<ENDAUDCAP>
"
286SVdyzL9I_1920x1080_full_video_060_B,videos/286SVdyzL9I_1920x1080_full_video_060.mp4,audios/286SVdyzL9I_1920x1080_full_video_060.wav,"0,0,1,1"," what you say about my son? Like crazy. And he's always like, mom, relax, relax. But it's different when it's your child playing. Like it's a different feeling.","The person in the video is sitting on a sofa with both hands naturally placed on their knees. Her right hand initially lifts slightly, then moves to the left and upward, with her fingers spread out, as if emphasizing a point. Following this, her right hand returns to its original position, palm facing down, with her fingers slightly curved. Subsequently, her right hand raises again, moving to the right and upward, with her fingers spread out, seemingly further elaborating on a point. Finally, her right hand returns to its original position, palm facing down, with her fingers slightly curved. Throughout the process, her left hand remains relatively still, occasionally making slight adjustments. The person says, <S> what you say about my son? Like crazy. And he's always like, mom, relax, relax. But it's different when it's your child playing. Like it's a different feeling.<E> <AUDCAP>The speaker is a middle-aged to older woman, perceived as African American, exhibiting a passionate and emotionally charged delivery. Her pitch is medium, fluctuating for emphasis, with a lively, expressive prosody that conveys frustration and protectiveness. Her speech rate is moderately fast, intensifying as she speaks. She uses vocal emphasis and upward inflection.<ENDAUDCAP>
"
2FHg1VhVFrk_720x480_full_video_149_A,videos/2FHg1VhVFrk_720x480_full_video_149.mp4,audios/2FHg1VhVFrk_720x480_full_video_149.wav,"0,0,1,1"," The bees that life throws at him, you know in a weird way. He's just he would be like a good Mission Control in a...","The person in the video slightly turns their head to the left while speaking, causing the earphones on their ears to move slightly with the head's movement. Their mouth is open, showing their teeth, as if they are speaking or singing. They hold a black microphone in their right hand, which remains relatively stable, but there are slight movements of their hand, possibly adjusting the microphone or making gestures. Overall, this person's actions mainly focus on their head and mouth, with no significant movements in other parts of their body. The person says, <S> The bees that life throws at him, you know in a weird way. He's just he would be like a good Mission Control in a...<E> <AUDCAP>The speaker is a middle-aged male with a clear, mid-range pitch and a standard North American accent. His prosody is relatively flat and monotonous, with little emotional inflection, approaching a neutral or indifferent affect. He speaks at a deliberate, slow pace, with distinct articulation of each word. The rhythm is steady and unhurried, suggesting a candid, conversational style, focused on clearly conveying the thought rather than exhibiting expressive variation.<ENDAUDCAP>
"
24ehFJ-fXmM_1920x1080_full_video_008_A,videos/24ehFJ-fXmM_1920x1080_full_video_008.mp4,audios/24ehFJ-fXmM_1920x1080_full_video_008.wav,"0,0,1,1"," So, our friends are now our enemies, our enemy is now our friend, we're breaking up with Europe, we're friends with Russia. We're friends with Russia, we're friends with Russia, we're friends with Russia.","The person in the video initially opens both hands and moves to the left, gradually retracting the left hand while extending the right hand forward. Then, he retracts his right hand and moves to the right, opening and extending his left hand forward again. Following this, he retracts his left hand and moves to the left, extending his right hand forward once more. Finally, he retracts his right hand and moves to the right, opening and extending his left hand forward. Throughout the entire process, his movements are smooth and rhythmic. The person says, <S> So, our friends are now our enemies, our enemy is now our friend, we're breaking up with Europe, we're friends with Russia. We're friends with Russia, we're friends with Russia, we're friends with Russia.<E> <AUDCAP>A male speaker, likely middle-aged, delivers a fast-paced speech with an energetic rhythm. His accent is General American with a medium-to-high pitch. Prosody is marked by emphatic stress and wide, rising intonation, creating a playful and exasperated tone. The delivery is rapid and engaged.<ENDAUDCAP>
"
29n0WG317tM_1920x1080_full_video_272_B,videos/29n0WG317tM_1920x1080_full_video_272.mp4,audios/29n0WG317tM_1920x1080_full_video_272.wav,"0,0,1,1"," now with high density of fur anticipating winter temperatures. And of course, you can do this no matter what the season actually is in the world, Bye!","The person in the video is seated at a table, with their right hand continuously moving, seemingly emphasizing a point or explaining something. Initially, his hand slightly lifts, with fingers spread out, then gradually moves upward and to the right, palm facing up, and fingers slightly curved, as if making gestures to enhance the effect of verbal expression. Subsequently, his hand returns to its original position, with fingers once again spread out, and repeats the previous action, this time slightly faster. Throughout the process, his arms remain in front of him, with his wrists flexibly rotating. The person says, <S> now with high density of fur anticipating winter temperatures. And of course, you can do this no matter what the season actually is in the world, Bye!<E> <AUDCAP>An adult male with a Mid-Atlantic accent speaks in a clear, measured, and informative tone. His voice is of medium pitch with consistent, even prosody. The pace is moderate and steady, lacking significant emotional expression or inflection. The delivery is neutral and analytical, focused on conveying information objectively and crisply.<ENDAUDCAP>
"
2Bbm0WEbd3M_1920x1080_full_video_007_B,videos/2Bbm0WEbd3M_1920x1080_full_video_007.mp4,audios/2Bbm0WEbd3M_1920x1080_full_video_007.wav,"0,0,1,1"," Look, like a lot of young people, I spend a lot of time on TikTok. It's really important to me. And I think this ban is an attack on the youth.","The person in the video first slightly opens their mouth, showing their teeth, then closes their mouth, and subsequently opens their mouth slightly again, showing their teeth. Following this, they place both hands in front of them, with fingers gently curved, seemingly making a gesture or preparing to speak. Finally, he opens his mouth slightly once more, showing his teeth. Throughout the entire process, his head remains relatively stable, with only the movement of his lips being noticeable. The person says, <S> Look, like a lot of young people, I spend a lot of time on TikTok. It's really important to me. And I think this ban is an attack on the youth.<E> <AUDCAP>A male speaker, likely a young adult or middle-aged man, speaks with a standard American accent. His voice is of medium pitch, with an assertive and declarative tone. The prosody is energetic and expressive, with strong stress on key words. The speech rate is fast-paced, conveying urgency and conviction. The speaker's audio is clear and free of noticeable vocal characteristics, suggesting a focused recording session. His emotion is one of strong conviction bordering on defensiveness.<ENDAUDCAP>
"
2FHOdOIfqe0_1920x1080_full_video_039_A,videos/2FHOdOIfqe0_1920x1080_full_video_039.mp4,audios/2FHOdOIfqe0_1920x1080_full_video_039.wav,"0,0,1,1", one thing. Here's what you'll see.,"The person in the video frequently uses various hand gestures while speaking. In the earlier frames, his left hand is slightly open with the palm facing up, as if emphasizing a point or explaining a concept. Subsequently, his left hand gradually moves to the right, with the palm facing down and fingers slightly curved, possibly indicating further explanation or an example. Then, his left hand returns to its original position, with the palm facing up and fingers spread out, suggesting he continues to elaborate on a key point.

Meanwhile, his right hand is also slightly open with the palm facing up in the earlier frames, mirroring the actions of the left hand. Following this, his right hand gradually moves to the left, with the palm facing down and fingers slightly curved, likely for further explanation or an example. Finally, his right hand returns to its original position, with the palm facing up and fingers spread out, indicating continued elaboration on a key point.

Throughout the process, his hand movements are well-coordinated and complement his speech, appearing very natural and fluid. The person says, <S> one thing. Here's what you'll see.<E> <AUDCAP>A male speaker, likely middle-aged, with a standard American accent, narrates in a clear, even tone. His pitch is in the medium range, with natural, conversational prosody and varied intonation. The speech maintains a steady, natural rhythm and moderate pace. The audio quality is good, with minimal background noise, suggesting a quiet indoor environment. The speaker's emotion is neutral, focused on descriptive storytelling.<ENDAUDCAP>
"
2Dl3qfxZsSw_1920x1080_full_video_054_B,videos/2Dl3qfxZsSw_1920x1080_full_video_054.mp4,audios/2Dl3qfxZsSw_1920x1080_full_video_054.wav,"0,0,1,1"," should there be incentives for doctors to push what should just be healthy and natural and good. You shouldn't have to incentivize a doctor to encourage their, their, their patients to do something that's been tested and is safe.","The person in the video frequently uses various hand gestures while speaking. His left hand initially lifts slightly, then gradually opens up with fingers naturally extended, seemingly to emphasize a point or explain a concept. Following this, his left hand continues to open, with the palm facing upward and fingers slightly curved, displaying an open posture. Subsequently, his left hand gradually retracts, with the palm facing downward and fingers slightly curved, as if summarizing or transitioning to the next topic.

Meanwhile, the right hand's movements are more active. It initially lifts slightly, then quickly opens up with the palm facing upward and fingers naturally extended, mirroring the actions of the left hand. Next, the right hand gradually retracts, with the palm facing downward and fingers slightly curved, coordinating with the left hand's movements. Finally, the right hand opens again, with the palm facing upward and fingers naturally extended, seemingly further emphasizing a point or explaining a concept. Throughout the process, the movements of both hands are smooth and coherent, reflecting a confident and enthusiastic attitude. The person says, <S> should there be incentives for doctors to push what should just be healthy and natural and good. You shouldn't have to incentivize a doctor to encourage their, their, their patients to do something that's been tested and is safe.<E> <AUDCAP>A male speaker, likely middle-aged, with a clear North American accent, speaks in a fast, assertive, and argumentative tone. His voice has a medium-to-low pitch. He uses strong emphasis and a rhythmic, deliberate cadence to stress his points about medical incentives, conveying frustration or indignation. The prosody is marked by frequent stress on key words like ""should,"" ""incentives,"" and ""natural,"" creating a passionate and didactic delivery.<ENDAUDCAP>
"
2FTYsHxryqU_1920x1080_full_video_036_A,videos/2FTYsHxryqU_1920x1080_full_video_036.mp4,audios/2FTYsHxryqU_1920x1080_full_video_036.wav,"0,0,1,1"," Nissan Armada Pro 4X is that car, with a twin turbo V6 engine ready to propel your adventures up to 8,500 pounds of towing capacity.","The person in the video moves their mouth with great precision and continuity while speaking. His left eye occasionally closes slightly, while his right eye remains open. When his mouth is open, you can see parts of his teeth, indicating that he is speaking or pronouncing words. His lips move in coordination, moving up and down to match the changes in voice. Overall, his head is slightly tilted to the right but there is no noticeable head movement. The person says, <S> Nissan Armada Pro 4X is that car, with a twin turbo V6 engine ready to propel your adventures up to 8,500 pounds of towing capacity.<E> <AUDCAP>A male speaker, estimated 30-50 years old, delivers a promotional pitch in a clear American accent. His voice is in the medium pitch range, with a standard, balanced rhythm and steady pace. The prosody is consistent and moderately inflected, typical of commercial narration. His tone is upbeat and assertive, conveying enthusiasm without excitement. The delivery is confident and paced for clarity and persuasion, making the message engaging for a general audience.<ENDAUDCAP>
"
2AFUBkjO0Wo_1920x1080_full_video_012_B,videos/2AFUBkjO0Wo_1920x1080_full_video_012.mp4,audios/2AFUBkjO0Wo_1920x1080_full_video_012.wav,"0,0,1,1"," We're doing a lot of other things, too. We've gotten a truce in Ethiopia so that humanitarian assistance can get to people up in Tigray. We got a truce in Yemen after eight years of war.","The person in the video is seated on a blue sofa with both hands resting on the table in front of them. Initially, his left hand slightly lifts, followed by a gentle bending of his fingers, as if emphasizing a point. Then, he lowers his left hand and raises his right hand, spreading his fingers wide with his palm facing upward, suggesting that he is explaining or illustrating something. Subsequently, he lowers his right hand again and raises his left hand once more, with his fingers gently curved, continuing to emphasize his point. Throughout the process, his movements are smooth and rhythmic, indicating that he is engaged in a formal discussion or presentation. The person says, <S> We're doing a lot of other things, too. We've gotten a truce in Ethiopia so that humanitarian assistance can get to people up in Tigray. We got a truce in Yemen after eight years of war.<E> <AUDCAP>A man, likely middle-aged or older, speaks with a standard American accent. His voice is in the low-mid pitch range and has a slightly rough texture. His prosody is generally even and measured, with clear enunciation and a steady, normal pace. The tone is serious, earnest, and relatively calm, relaying information in a factual manner without strong emotional inflection.<ENDAUDCAP>
"
28mTBN5gtF8_1920x1080_full_video_058_A,videos/28mTBN5gtF8_1920x1080_full_video_058.mp4,audios/28mTBN5gtF8_1920x1080_full_video_058.wav,"0,0,1,1"," tactfully, like for instance, you said I didn't judge you for that. That's because we've been together so long. Like I remember this is a weird story. So when you and I first.","The person in the video raises his left hand slightly upward to the left and then slowly lowers it, before raising it again with fingers spread out, as if emphasizing a point. Subsequently, he raises his right hand, with fingers spread out, synchronizing with the movement of his left hand. He then lowers his right hand, raises his left hand again with fingers spread out, seemingly further elaborating on the point. Finally, he lowers both hands, leaning slightly forward, as if summarizing or concluding his speech. Throughout the process, his movements are smooth and forceful, demonstrating his confidence and enthusiasm in expressing his views. The person says, <S> tactfully, like for instance, you said I didn't judge you for that. That's because we've been together so long. Like I remember this is a weird story. So when you and I first.<E> <AUDCAP>A male speaker, likely in his 30s to 40s, with a standard American accent, narrates in a calm, mid-to-low pitch. His prosody is conversational and measured, with a normal, storytelling pace. The tone is thoughtful and relaxed, exhibiting no strong emotion but with slight amusement or nostalgia. He uses natural intonation and clear articulation, pausing briefly between phrases.<ENDAUDCAP>
"
2FHg1VhVFrk_720x480_full_video_057_A,videos/2FHg1VhVFrk_720x480_full_video_057.mp4,audios/2FHg1VhVFrk_720x480_full_video_057.wav,"0,0,1,1"," After that, I'll be February 22nd through 26th, I'll be in Denver at the Comedy Works South. Comedy Works South. So if you want to come...","The person in the video is making obvious mouth movements while speaking. He has white earphones on his left ear and similar ones on his right ear. It appears that he is engaged in a conversation or speech, with frequent opening and closing of his mouth. At certain moments, his mouth is slightly open, revealing his teeth, which may indicate emphasis on a point or an expression of surprise. Additionally, during the speech, his head moves slightly but not significantly, mainly to better engage with the audience. Overall, his body movements are primarily focused on his face and mouth, with no other significant hand gestures or body movements. The person says, <S> After that, I'll be February 22nd through 26th, I'll be in Denver at the Comedy Works South. Comedy Works South. So if you want to come...<E> <AUDCAP>A male speaker with a medium pitch and perceived age of 30-50 delivers information in a calm, steady pace with clear enunciation. He speaks with a General American accent. His prosody is neutral and even, with minimal intonation fluctuation, suggesting a professional, matter-of-fact tone. The emotion conveyed is informational and objective. The recording is clean, with no noticeable background noise, and the speech is delivered at a normal, deliberate rate, suitable for announcements.<ENDAUDCAP>
"
2Bbm0WEbd3M_1920x1080_full_video_019_B,videos/2Bbm0WEbd3M_1920x1080_full_video_019.mp4,audios/2Bbm0WEbd3M_1920x1080_full_video_019.wav,"0,0,1,1"," Seth, what is the only thing worse than being teased?","The person in the video opens their mouth and shows their teeth, seemingly emphasizing a point or expressing strong emotion. Their head slightly turns to the left before returning to the center. They are wearing earrings, and the earring on their right ear can be seen moving slightly while they speak. The person says, <S> Seth, what is the only thing worse than being teased?<E> <AUDCAP>A male voice, estimated between 18-35 years old, speaks with a North American accent. His pitch is in the medium range. He delivers the line in a slow, deliberate rhythm, employing a questioning and somewhat teasing prosody. Emotionally, his tone is playful and inquisitive. The speech rate is slow, with clear enunciation of each word, creating a deliberate and slightly dramatic delivery that emphasizes the rhetorical nature of the question.<ENDAUDCAP>
"
2BxoCHW9OiM_1920x1080_full_video_282_A,videos/2BxoCHW9OiM_1920x1080_full_video_282.mp4,audios/2BxoCHW9OiM_1920x1080_full_video_282.wav,"0,0,1,1"," to the gym at the right time, trying to get all my meals in, trying to manage it all. And my body started to get like just tired. My mind was stressed. I wasn't taking those times to really reflect on myself and check in wherever.","The person in the video initially places their left hand in front of them, then gradually raises it with fingers spread out, as if emphasizing a point or explaining something. Following this, they lower their hand with palms facing up, seemingly making a concluding gesture. Subsequently, they raise their hand again with fingers spread out once more, possibly to elaborate on a detail further. Throughout the process, his movements are smooth and natural, indicating his focus and enthusiasm during expression. The person says, <S> to the gym at the right time, trying to get all my meals in, trying to manage it all. And my body started to get like just tired. My mind was stressed. I wasn't taking those times to really reflect on myself and check in wherever.<E> <AUDCAP>A male speaker, likely in his 30s or 40s, speaks with a moderate tone and rhythm. He has a clear North American accent, with a medium-low pitch. His prosody is consistent and reflective, using a moderate, conversational pace. The speaker's tone conveys mild fatigue and stress as he recounts a period of burnout from a demanding routine.<ENDAUDCAP>
"
2BiEmFl3u6M_1920x1080_full_video_033_A,videos/2BiEmFl3u6M_1920x1080_full_video_033.mp4,audios/2BiEmFl3u6M_1920x1080_full_video_033.wav,"0,0,1,1"," Deacons, I imitated the, I imitated my bishop. Yes, Bishop Omega, definitely. He has a very grandiose.","The person in the video is sitting on a pink sofa, wearing a red blazer and a white T-shirt, and has a silver necklace around their neck. Their hands are constantly moving, demonstrating a series of complex gestures. The left thumb points to the right index finger, then the right fingers gently bend, with the left palm facing up and the right fingers crossed. Next, the left palm faces down, the right fingers spread out, the left fingers bend to the right, and the right fingers bend to the left. Finally, the left palm faces up, the right fingers cross, the left palm faces down, and the right fingers spread out. Throughout the entire process, his movements are smooth and rhythmic. The person says, <S> Deacons, I imitated the, I imitated my bishop. Yes, Bishop Omega, definitely. He has a very grandiose.<E> <AUDCAP>An adult male speaker with a medium-to-low pitch delivers a rambling anecdote in an African American Vernacular English accent. His prosody is characterized by initial hesitation, filled pauses (""uh""), and emphatic repetition before regaining a steady, slightly fast pace. The tone is informal and engaging, with rising intonation at the end of phrases suggesting storytelling. He expresses mild amusement and mild surprise, creating a conversational and lively atmosphere.<ENDAUDCAP>
"
2FHOdOIfqe0_1920x1080_full_video_027_A,videos/2FHOdOIfqe0_1920x1080_full_video_027.mp4,audios/2FHOdOIfqe0_1920x1080_full_video_027.wav,"0,0,1,1"," Now what does this mean if we want to go even deeper? What if I'm looking at this for myself, and I'm mentoring people, because I'm regularly mentoring thousands of people, so how do I mentor somebody when I look at this?","The person in the video holds a chalk in their left hand and has their right hand naturally hanging down. Initially, they point the chalk at the word ""Alignment"" on the blackboard. Then, they place the chalk in their left hand and make a fist with their right hand, emphasizing a point. Next, they open their right hand, gently bending their fingers, as if explaining a concept. Following that, they again make a fist with their right hand, emphasizing another point. Finally, they open their right hand again, gently bending their fingers, continuing to explain. Throughout the process, his movements are smooth and forceful, showing his focus and enthusiasm during the explanation. The person says, <S> Now what does this mean if we want to go even deeper? What if I'm looking at this for myself, and I'm mentoring people, because I'm regularly mentoring thousands of people, so how do I mentor somebody when I look at this?<E> <AUDCAP>The speaker is a middle-aged male with a moderate-to-low pitch voice and a standard North American accent. His prosody features consistent rhythm and intonation with varying emphasis on words related to mentoring and deeper understanding. The delivery is measured and calm, with a neutral and thoughtful emotional undertone. His speech is at a normal rate, suggesting a conversational or reflective tone rather than emotional urgency or excitement.<ENDAUDCAP>
"
2FTx7DV7sv8_1920x1080_full_video_060_B,videos/2FTx7DV7sv8_1920x1080_full_video_060.mp4,audios/2FTx7DV7sv8_1920x1080_full_video_060.wav,"0,0,1,1", And you can take the time necessary to craft your words carefully and you can practice nearly saved words.,"The person in the video is seated on a brown leather chair, dressed in a dark blue suit jacket and burgundy trousers, paired with a white shirt and striped tie. He is wearing a watch on his left wrist and a ring on his right ring finger. Initially, both of his hands rest on his knees. Then, his left hand begins to make a series of gestures: first, he raises his palm upward with fingers slightly spread; next, he clenches his fist, then extends it again, bending his fingers gently; finally, he clutches his fist once more, with his fingers pressed tightly together. Throughout the process, his right arm remains by his side, with minimal hand movement. The person says, <S> And you can take the time necessary to craft your words carefully and you can practice nearly saved words.<E> <AUDCAP>A male speaker, possibly middle-aged, delivers a calm and measured monologue. His accent is General American, and his pitch is medium-low. The prosody is even and steady, with a slow, deliberate speech rate. He enunciates clearly, creating a thoughtful and reflective tone, free of noticeable emotional inflection or stress. The rhythm is consistent, promoting a sense of careful consideration.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_096_B,videos/2Ait0WaCNCw_1920x1080_full_video_096.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_096.wav,"0,0,1,1"," So I think that men need to calm down about that. They feel like they have to go on forever and ever and ever and it's like, well, she's not going to walk us in that way anyway.","The person in the video is making various hand gestures with both hands while speaking. Her left hand starts on her left side of the body and gradually moves to the right, then returns to the left, with fingers spread out, seemingly emphasizing a point. Next, her right hand begins from her right side, raises upward with the palm facing outward, then moves downward again, spreading her fingers once more. Subsequently, her left hand also raises upward with the palm facing outward, mirroring the symmetrical movement of the right hand. Finally, both her hands extend outward to the sides of her body, palms facing down, fingers slightly curved, as if concluding a sentence or expressing a summary point. Throughout the process, her arm and hand movements are smooth and natural, indicating that she is actively participating in the conversation or speech. The person says, <S> So I think that men need to calm down about that. They feel like they have to go on forever and ever and ever and it's like, well, she's not going to walk us in that way anyway.<E> <AUDCAP>The speaker is a woman with a moderate pitch, likely middle-aged, speaking with a British English accent. Her prosody is animated and rhythmic, employing varied stress and intonation for emphasis. Her speech rate is moderate to fast, conveying engagement as she expresses a matter-of-fact opinion with a slightly exasperated tone on the noted topic.<ENDAUDCAP>
"
2BxoCHW9OiM_1920x1080_full_video_139_A,videos/2BxoCHW9OiM_1920x1080_full_video_139.mp4,audios/2BxoCHW9OiM_1920x1080_full_video_139.wav,"0,0,1,1"," I didn't block it out because it's bad. I just, I think maybe as I was kind of pushing aside some emotions, I pushed aside some memories too. But I do have like some memories of.","The person in the video is seated on a chair with their arms crossed over their chest. His left arm is positioned above his right arm, and both hands are clasped together. His head slightly turns to the right, looking towards the left side of the frame. Then, his head gently turns back to the left, looking towards the right side of the frame. Throughout the entire process, his body remains relatively still, with only minor movements in his head and eyes. The person says, <S> I didn't block it out because it's bad. I just, I think maybe as I was kind of pushing aside some emotions, I pushed aside some memories too. But I do have like some memories of.<E> <AUDCAP>A male speaker with a medium-low pitch and a neutral North American accent speaks at a moderate pace. His prosody is relatively flat with little intonation variation. He sounds thoughtful and somewhat reserved, maintaining a steady rhythm. The overall emotion conveyed is reflective and calm, not expressing strong feelings.<ENDAUDCAP>
"
